ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,Complain,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,AcceptedCmp1,AcceptedCmp2,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,Response,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Z_CostContact,Z_Revenue
187,1962,PhD,Widow,180219.32,2,2,2018-09-28,34,0,1179,204,874,480,108,725,5,0,0,0,1,0,0,10,10,1,1,37,115
188,1970,Graduation,Together,157723.69,0,2,2010-10-28,97,0,1261,383,936,73,49,731,7,0,1,1,0,0,0,13,7,8,18,49,3039
189,1981,PhD,Together,157173.34,2,2,2011-12-25,27,0,375,255,130,350,104,285,9,0,0,0,0,0,0,11,11,9,5,4,277
190,1946,Graduation,Married,94309.17,1,1,2014-05-18,1,0,81,306,607,142,26,755,9,0,0,0,0,0,0,3,12,4,17,33,2234
191,1955,Graduation,Single,82611.03,0,1,2018-03-30,93,0,491,437,25,454,287,257,6,0,0,0,0,0,0,11,2,12,3,22,2291
192,1999,Basic,Widow,64068.57,0,0,2013-12-30,12,0,355,143,634,291,256,569,3,0,0,0,0,0,0,7,6,3,4,6,4851
193,1941,PhD,Single,17810.5,0,1,2010-03-09,40,0,924,145,483,397,272,547,1,1,0,0,0,0,0,8,3,11,5,33,4803
194,1940,PhD,Divorced,49505.9,1,0,2016-11-11,79,0,1296,390,679,111,136,489,1,0,0,0,0,0,0,1,4,3,14,28,1562
195,1987,2n Cycle,Divorced,53087.71,2,2,2014-03-18,58,0,1067,300,1074,205,31,497,3,1,0,0,0,0,0,8,3,7,5,24,979
196,1951,2n Cycle,Married,99395.03,0,2,2011-02-02,68,0,1004,163,4,130,44,704,5,0,0,0,0,1,0,10,8,11,7,4,4086
197,1976,Basic,Married,150751.66,2,1,2011-09-12,91,0,122,168,588,368,264,332,2,1,0,0,0,0,0,11,10,2,8,2,2653
198,1971,Basic,Married,97392.92,2,2,2019-03-12,52,0,1372,477,1183,109,29,561,5,0,0,0,1,1,0,3,6,14,5,13,1230
199,1948,Master,Divorced,16279.67,1,2,2014-05-04,44,0,707,297,207,369,83,31,4,0,0,0,0,0,0,5,12,11,1,46,1089
200,1958,2n Cycle,Single,191769.01,0,1,2013-03-09,19,0,329,232,256,66,165,609,4,0,0,0,0,0,0,13,3,11,15,49,1151
201,1987,Graduation,Single,188831.24,2,0,2011-12-31,23,0,1432,390,10,381,0,42,1,0,0,0,1,1,0,6,12,3,19,11,2149
202,1942,PhD,Married,158111.96,0,1,2011-07-10,60,0,990,270,948,85,248,350,7,0,0,0,1,1,0,3,7,1,0,35,563
203,1959,Basic,Widow,198308.94,0,0,2015-05-07,90,0,322,59,7,274,260,333,4,0,0,0,0,0,0,7,1,5,15,39,4889
204,1963,PhD,Single,111174.05,1,1,2017-09-29,93,0,1134,295,935,226,62,558,1,0,0,0,0,0,1,12,6,11,0,10,3182
205,1993,PhD,Divorced,192739.83,0,1,2014-10-18,57,1,769,466,31,459,163,269,6,0,1,0,0,0,1,13,10,8,0,43,1882
206,1972,Master,Together,19742.98,0,2,2018-01-20,26,0,1112,234,539,437,200,412,8,0,1,0,0,0,0,9,0,11,6,10,4688
207,1963,2n Cycle,Together,76307.75,2,1,2017-04-11,25,0,432,164,1004,324,221,574,8,0,0,0,0,0,0,7,7,3,15,8,2507
208,1975,Basic,Together,48949.35,1,1,2017-08-27,6,0,709,193,386,9,151,18,0,0,1,0,0,1,0,0,12,10,16,5,2252
209,1977,PhD,Widow,43187.45,0,0,2016-05-18,41,0,793,233,639,488,131,346,6,1,0,0,0,0,0,7,13,5,15,23,2730
210,1964,Basic,Married,32456.58,2,2,2017-06-01,46,0,711,367,206,416,113,612,8,0,1,0,0,0,0,9,11,3,15,34,2148
211,1957,Graduation,Divorced,126370.66,1,0,2018-02-19,52,0,1122,182,556,396,216,36,5,1,0,0,1,0,1,13,13,13,5,47,3216
212,1993,Master,Widow,157357.76,1,0,2012-09-22,58,0,538,332,347,383,195,618,0,0,0,0,0,1,0,11,12,1,17,32,1977
213,1974,Graduation,Divorced,117768.19,2,2,2015-05-14,37,0,600,231,792,354,280,91,1,0,0,0,0,1,0,2,14,12,2,16,4500
214,2000,Basic,Divorced,33657.73,2,2,2014-05-21,68,0,1169,360,233,434,201,184,3,0,0,0,0,0,0,4,5,13,7,4,3166
215,1980,Basic,Married,163169.14,2,2,2017-08-25,86,0,256,490,1067,287,134,727,3,0,0,0,1,0,0,13,11,5,3,28,2937
216,1972,2n Cycle,Together,129011.17,2,1,2014-01-20,91,0,1212,106,1005,458,233,27,1,0,1,0,0,0,0,9,4,11,3,48,4393
217,1972,PhD,Married,80692.31,2,2,2015-11-05,97,0,1263,377,736,111,140,547,7,0,0,0,0,0,0,7,8,6,16,44,4678
218,1953,PhD,Widow,136455.41,0,2,2013-01-07,52,0,870,222,941,485,195,371,1,0,0,0,1,0,0,10,8,3,4,14,3580
219,1960,Graduation,Widow,55681.47,0,2,2018-12-21,14,0,898,79,1165,23,42,529,2,0,0,0,0,1,0,5,2,11,13,12,839
220,1987,Master,Widow,72312.48,1,0,2017-10-09,95,0,808,233,175,290,56,344,3,0,0,0,0,1,0,3,8,10,14,21,1350
221,1959,PhD,Married,183909.74,0,0,2019-05-02,25,1,676,380,448,338,141,418,8,0,0,1,1,0,0,14,12,6,11,48,1997
222,1947,2n Cycle,Divorced,61648.38,0,1,2019-02-08,47,0,270,183,591,325,209,195,9,0,0,0,1,0,1,3,14,12,12,16,2292
223,1946,Graduation,Divorced,96647.71,0,0,2016-06-09,94,0,549,427,81,167,71,77,0,0,0,0,0,0,0,11,12,10,17,44,1144
224,1956,Graduation,Single,178577.52,2,1,2013-11-04,18,0,1137,184,134,437,223,166,7,0,0,0,0,0,0,3,8,7,13,2,1408
225,1972,2n Cycle,Widow,143005.66,1,0,2015-12-18,8,0,1362,133,855,108,26,89,4,0,0,0,0,0,0,5,1,10,18,23,3706
226,1987,Master,Divorced,17129.63,1,2,2017-03-28,63,0,567,219,1164,427,127,263,6,0,0,1,0,0,0,6,4,2,6,29,357
227,1998,2n Cycle,Single,33724.09,1,0,2013-07-23,92,0,985,287,439,189,105,471,7,0,0,0,0,0,0,12,10,14,5,46,1500
228,1961,Master,Divorced,6529.11,1,1,2014-09-19,53,0,358,363,1079,489,164,207,4,0,1,1,0,0,0,4,1,1,4,43,2173
229,1969,2n Cycle,Widow,128029.75,0,0,2017-02-18,50,0,1357,201,696,354,214,723,7,0,0,0,0,0,0,9,0,4,3,9,4932
230,1977,2n Cycle,Together,92296.32,0,2,2012-06-17,38,0,1192,369,418,195,70,270,9,0,0,0,0,0,0,13,6,1,17,7,2892
231,1990,Basic,Widow,31183.6,2,1,2013-04-21,3,0,1362,145,87,32,203,262,7,0,0,0,0,0,0,7,3,9,13,29,1714
232,1993,Graduation,Married,191797.15,1,2,2019-02-22,2,0,797,323,655,204,152,505,8,0,0,0,0,0,0,6,4,4,15,44,3998
233,1947,2n Cycle,Divorced,108283.65,0,2,2019-04-17,63,0,1284,126,1031,311,66,784,1,0,0,0,0,0,1,7,3,9,19,17,1444
234,1966,2n Cycle,Divorced,52169.19,0,1,2014-03-16,28,0,886,456,214,419,89,511,2,0,0,0,0,0,1,14,5,14,13,9,4122
235,1966,PhD,Married,102617.7,2,2,2010-03-19,10,0,1222,134,551,181,259,725,0,0,0,0,0,0,1,3,10,12,4,6,3684
236,1960,Graduation,Married,137525.96,2,2,2017-10-02,96,0,210,113,502,490,227,575,3,1,0,0,0,0,0,7,1,5,10,44,264
237,1969,PhD,Together,19866.65,2,0,2019-05-04,57,0,286,263,698,146,78,523,4,0,0,1,0,1,1,12,7,7,11,20,3122
238,1967,Graduation,Divorced,58567.24,0,2,2017-06-14,74,1,742,63,244,426,95,721,0,0,0,0,0,0,0,5,3,5,17,10,4104
239,2003,PhD,Divorced,162358.27,0,2,2019-12-07,26,0,1495,490,308,267,245,311,7,0,0,0,0,0,0,2,7,3,3,9,4522
240,2000,2n Cycle,Together,94634.65,2,2,2014-03-13,96,1,1046,134,230,10,271,173,1,0,0,0,0,0,0,12,2,2,12,12,2509
241,1987,2n Cycle,Single,111582.54,1,2,2010-08-26,20,0,1132,40,154,69,156,430,0,1,0,0,0,0,0,7,11,13,19,33,3756
242,1958,Basic,Together,89399.12,2,1,2013-03-03,38,0,295,295,1198,255,115,767,1,0,0,0,0,1,0,12,11,13,12,32,3321
243,1943,PhD,Widow,13560.49,2,0,2015-06-20,94,0,5,2,847,395,17,462,4,1,0,0,0,1,0,6,10,1,3,34,1256
244,1974,Master,Divorced,37321.21,2,2,2013-04-30,45,0,549,400,114,218,171,100,8,0,0,1,1,1,0,9,4,12,6,19,459
245,2003,Basic,Married,91880.62,2,2,2019-05-21,65,0,680,193,310,296,15,15,8,0,0,1,0,0,0,4,11,0,1,33,3519
246,1988,PhD,Widow,45791.17,0,1,2010-10-05,90,0,794,462,992,408,239,708,1,0,0,0,0,0,0,10,2,1,17,48,265
247,1956,PhD,Divorced,14745.91,1,2,2018-06-17,35,0,202,109,299,361,55,257,1,0,0,0,0,0,0,3,11,1,5,16,4897
248,1983,Basic,Together,169511.68,2,1,2011-06-08,74,0,324,220,1041,258,78,243,2,0,0,0,0,0,0,0,14,14,15,23,398
249,1969,2n Cycle,Widow,196332.54,1,0,2010-06-29,81,0,824,369,783,2,102,347,6,0,0,0,0,0,0,9,12,4,2,26,3701
250,1985,PhD,Divorced,159662.86,1,0,2010-05-03,64,0,243,367,11,83,283,248,2,0,0,0,0,1,1,2,6,8,14,45,2928
251,1945,2n Cycle,Single,171488.06,1,2,2013-06-23,62,0,326,435,231,155,192,104,0,1,0,0,0,1,0,1,14,0,19,44,3715
252,1976,Basic,Single,52185.54,2,2,2014-10-24,98,0,986,405,954,150,4,693,5,0,0,1,0,0,0,7,2,3,9,41,4799
253,1963,2n Cycle,Married,192322.26,0,2,2019-06-07,34,0,1070,3,729,175,105,666,2,0,0,0,0,0,0,13,14,9,8,37,3119
254,1985,Graduation,Divorced,43400.51,2,1,2018-07-20,30,0,760,243,1017,194,277,286,0,0,0,0,0,0,0,7,11,6,10,9,4044
255,1992,Master,Single,190528.81,1,2,2012-12-30,27,0,1036,389,998,425,99,168,3,0,0,0,0,0,0,11,7,10,13,30,3162
256,1999,PhD,Together,198989.76,1,2,2011-04-25,0,0,906,165,302,471,237,419,0,0,0,0,0,0,0,4,8,13,11,13,52
257,2002,Master,Divorced,143785.95,0,0,2019-12-11,24,0,1403,25,540,106,268,46,0,0,1,1,0,1,1,13,12,9,6,48,1167
258,1971,2n Cycle,Together,196323.03,2,2,2018-06-18,42,0,364,394,469,423,85,42,1,0,1,0,0,0,0,4,11,2,10,42,1132
259,1972,PhD,Together,116060.26,1,0,2014-12-03,83,0,1365,473,812,133,31,320,9,0,1,0,0,0,0,14,1,7,16,16,4552
260,1957,2n Cycle,Single,55610.65,0,2,2015-11-02,66,0,1244,16,76,275,50,220,7,0,0,0,1,0,0,10,2,2,8,46,1567
261,1964,Graduation,Divorced,90214.2,1,0,2018-11-01,62,0,72,215,1019,394,78,512,1,0,0,0,0,0,0,3,11,7,12,2,4896
262,1993,Basic,Widow,120744.38,0,2,2017-02-25,50,0,1069,91,23,351,185,711,1,1,0,0,0,1,0,0,12,12,15,31,1945
263,1997,PhD,Single,19250.9,0,0,2017-04-20,1,0,273,482,1038,379,173,440,9,0,0,0,0,0,0,0,6,1,2,43,3629
264,1985,Graduation,Single,126356.94,2,1,2016-08-01,81,0,207,30,675,154,105,143,9,0,0,0,0,1,0,12,4,4,4,19,2683
265,1963,Graduation,Divorced,196329.68,1,0,2012-03-26,63,0,123,204,524,276,62,27,7,0,0,0,0,0,0,5,9,3,16,11,2429
266,1971,PhD,Divorced,42070.99,2,0,2017-05-18,73,0,1033,418,346,235,75,789,5,0,1,0,0,0,0,14,6,10,0,14,1062
267,1986,2n Cycle,Together,159556.05,1,0,2011-03-19,68,0,1352,399,171,239,80,552,3,0,0,0,1,0,0,3,1,8,8,47,4314
268,1962,Graduation,Divorced,182040.26,2,2,2018-08-07,8,0,1210,206,711,369,127,658,2,0,0,0,0,0,0,3,13,2,16,25,2873
269,1966,Master,Together,189021.81,1,2,2017-01-14,1,0,542,106,488,12,182,689,0,0,0,0,0,0,0,2,13,11,12,7,898
270,1941,Graduation,Single,192226.44,2,2,2010-05-23,33,0,59,145,377,341,242,166,2,0,0,0,0,0,0,13,3,10,14,15,1754
271,1956,2n Cycle,Married,106684.63,0,1,2010-07-11,59,0,898,366,1187,34,184,634,8,0,0,1,0,0,0,8,0,4,7,30,4143
272,1972,2n Cycle,Widow,195575.04,1,1,2013-11-11,60,0,885,100,371,46,219,585,4,0,0,0,0,0,0,2,14,9,7,31,255
273,1948,Master,Single,152675.49,1,0,2011-01-13,30,0,781,367,999,213,70,750,5,0,0,0,0,1,0,7,4,8,1,24,1942
274,1982,Graduation,Divorced,36525.93,0,1,2017-03-13,9,0,441,317,976,411,153,248,4,0,0,0,0,1,0,1,7,12,9,25,570
275,1987,2n Cycle,Widow,97995.52,2,0,2011-06-19,75,0,1240,367,756,404,244,774,0,0,1,0,0,0,0,3,0,5,4,8,3626
276,1978,PhD,Married,145074.58,1,0,2014-09-13,35,0,910,240,476,493,139,763,9,1,0,0,0,1,0,0,6,1,15,30,2401
277,1981,Basic,Married,53231.36,1,0,2019-03-19,84,1,1025,488,381,145,70,356,0,0,0,1,0,0,0,10,6,0,18,36,2184
278,1965,Basic,Together,129919.96,2,1,2012-10-29,48,0,831,410,154,158,45,110,3,0,0,1,0,0,0,4,6,11,0,14,4888
279,1989,Basic,Widow,134987.09,0,2,2019-02-25,69,0,1007,246,256,443,46,691,2,0,1,0,0,0,0,1,14,10,12,29,2525
280,1964,Graduation,Together,36726.45,2,1,2013-11-11,48,0,1379,162,673,124,78,699,7,0,0,0,1,1,0,10,0,0,3,27,4595
281,1963,Master,Single,115191.64,2,0,2015-11-11,2,0,625,371,67,109,148,718,6,0,0,1,0,0,0,12,11,6,6,36,835
282,1952,2n Cycle,Widow,155467.25,2,0,2015-06-13,73,0,1188,172,343,36,129,233,6,1,0,0,1,0,0,0,10,13,0,34,4147
283,1999,PhD,Single,102284.65,1,1,2017-01-20,4,0,997,34,672,276,126,23,7,1,1,1,0,0,0,0,2,11,1,21,2840
284,1946,PhD,Together,7360.11,0,0,2013-03-23,89,0,733,283,390,13,118,25,9,0,0,0,0,0,0,1,10,1,15,38,2207
285,1996,Graduation,Widow,6762.5,0,0,2011-02-09,60,0,90,358,258,472,261,380,6,0,0,0,0,0,0,4,1,6,13,11,728
286,1975,Basic,Together,74620.72,2,1,2017-11-27,84,0,166,380,306,346,243,729,9,0,0,0,1,0,0,11,14,0,4,33,3578
287,1984,Graduation,Widow,185607.84,1,1,2013-03-18,89,0,958,357,1118,231,102,345,1,0,0,0,0,0,1,14,14,3,13,15,3609
288,1959,Master,Together,49591.97,2,1,2012-06-07,25,0,206,392,949,315,36,377,3,0,0,0,0,1,0,14,4,9,16,12,420
289,2004,Master,Married,128700.92,1,0,2019-02-21,71,0,1305,459,969,123,141,521,5,0,0,0,0,0,0,8,1,14,11,24,2987
290,1947,2n Cycle,Together,48304.79,1,0,2011-02-26,4,0,1088,398,245,278,36,16,2,0,0,0,1,1,0,5,12,14,19,37,771
291,1955,2n Cycle,Married,67725.65,1,2,2014-06-30,14,0,515,20,732,478,7,244,2,0,1,1,1,0,0,11,13,12,11,11,4450
292,1953,Master,Together,170368.21,1,2,2011-04-17,15,0,1180,307,186,110,230,717,5,0,0,0,1,0,1,3,4,10,2,19,973
293,1954,Master,Widow,147127.98,0,1,2018-01-19,0,0,746,162,924,123,295,769,0,0,1,0,1,0,0,14,4,3,1,1,885
294,1971,Master,Widow,23602.86,1,2,2011-07-01,15,0,305,489,784,412,106,623,0,0,0,0,0,0,1,2,3,14,14,17,2543
295,2002,Graduation,Widow,88596.89,1,0,2011-09-23,36,0,394,96,407,430,17,716,4,0,0,0,0,1,0,7,10,4,10,40,3029
296,1990,Master,Divorced,10688.1,2,2,2019-11-07,2,1,1097,306,1148,29,82,538,0,0,0,0,0,0,0,2,6,13,9,16,2375
297,1964,PhD,Single,98773.58,2,0,2019-10-15,51,0,186,338,340,114,287,582,9,0,0,0,0,1,0,0,9,13,17,26,3974
298,1997,Basic,Widow,134174.63,0,1,2012-11-03,46,0,1360,54,562,89,193,687,7,0,0,0,0,0,0,3,5,9,1,43,2474
299,2002,Master,Married,28108.01,2,1,2017-09-26,94,0,622,470,650,211,214,201,1,0,0,0,1,0,0,10,1,14,6,43,4571
300,2001,Basic,Widow,61332.56,1,0,2015-01-04,12,0,729,332,951,37,280,247,5,0,0,0,0,0,0,12,14,14,6,15,3176
301,1961,Graduation,Divorced,82578.14,2,2,2010-12-30,79,0,239,126,1193,82,219,117,9,1,0,0,0,0,0,4,3,0,6,8,2426
302,1997,Basic,Married,184308.55,0,1,2015-12-07,54,0,532,427,1062,26,288,8,9,0,0,0,1,0,0,4,12,6,13,30,503
303,1997,Graduation,Divorced,198684.73,2,1,2019-01-23,20,1,140,192,68,216,193,597,4,0,0,1,0,0,0,4,13,10,1,14,3509
304,1988,PhD,Married,13757.7,2,2,2011-06-30,65,0,1288,242,380,359,157,22,9,0,0,1,0,0,0,7,10,1,1,33,4909
305,1991,Graduation,Together,153396.55,0,2,2018-11-15,53,0,138,348,56,485,103,239,3,1,1,1,0,0,0,7,6,11,14,42,3551
306,1981,Graduation,Single,77486.19,0,0,2017-01-13,26,0,458,87,849,371,33,584,0,0,0,1,0,0,0,11,8,14,10,7,3597
307,1954,2n Cycle,Single,81529.35,1,2,2011-09-26,37,0,69,335,1122,214,101,26,2,1,0,0,0,1,0,12,8,10,9,18,1198
308,1993,Master,Divorced,152081.67,2,2,2015-04-21,89,0,384,408,915,220,126,80,3,0,1,0,0,0,0,3,11,14,2,12,572
309,1999,Master,Single,184093.15,1,2,2014-08-08,57,0,629,214,324,14,213,595,1,1,1,0,0,0,1,14,2,12,16,2,4627
310,1947,PhD,Divorced,190431.08,2,0,2012-08-20,61,0,197,91,460,442,295,198,1,0,0,0,1,0,0,8,0,10,8,29,171
311,1992,PhD,Divorced,117538.9,2,0,2018-03-25,45,0,204,302,178,258,178,554,1,0,0,1,0,0,0,0,8,12,14,21,3668
312,1999,Master,Divorced,74638.63,1,1,2012-06-01,88,0,567,463,843,265,79,774,0,1,0,1,0,0,0,4,7,1,13,7,4726
313,1944,2n Cycle,Single,158572.07,2,0,2017-09-28,10,0,981,234,573,462,140,91,9,1,0,0,1,0,0,4,6,7,18,27,3772
314,1945,Master,Divorced,53945.27,2,1,2012-05-20,71,0,804,183,118,119,30,83,1,0,0,0,0,0,0,4,5,14,16,12,3133
315,1986,2n Cycle,Single,114994.44,2,2,2011-05-31,7,0,858,37,548,463,62,299,5,0,0,0,0,0,0,7,13,8,19,20,2222
316,1994,PhD,Divorced,74922.8,0,1,2018-03-05,96,0,881,138,645,400,47,295,2,0,0,0,0,0,0,8,14,5,16,14,2756
317,1979,Basic,Widow,133043.06,1,1,2013-11-21,70,0,973,194,25,127,86,646,9,0,0,0,0,0,0,2,9,10,15,10,4863
318,1991,PhD,Divorced,51877.79,0,2,2012-05-15,63,0,639,14,1031,210,60,453,4,0,0,0,0,0,0,8,6,0,19,41,3357
319,1955,PhD,Married,42360.62,1,1,2015-11-24,20,0,1454,256,968,10,273,280,0,1,0,1,0,0,1,12,10,0,7,23,3692
320,1952,Graduation,Divorced,184056.62,1,0,2013-01-13,71,0,324,134,532,175,283,58,7,0,0,0,0,0,0,10,8,13,6,30,2867
321,1969,Graduation,Together,24851.72,2,0,2010-08-02,62,0,441,0,148,132,79,341,3,0,0,1,0,0,0,7,5,10,11,47,4551
322,1958,Graduation,Divorced,103661.79,1,0,2018-09-28,84,0,803,48,1048,324,179,752,8,0,0,0,0,0,0,2,14,6,0,31,1534
323,1956,Graduation,Married,48066.29,0,0,2018-10-09,63,0,287,95,654,319,271,464,3,0,0,0,0,0,0,1,13,7,11,10,326
324,2002,2n Cycle,Married,12591.34,0,1,2017-12-07,19,0,225,200,944,13,76,341,1,0,0,0,0,0,0,14,13,2,5,19,1298
325,1958,Master,Single,12023.67,0,1,2016-02-23,7,0,1087,412,554,49,220,609,2,0,0,1,1,1,0,3,9,8,15,19,1174
326,1997,Basic,Widow,39168.25,1,2,2010-01-19,57,0,966,25,424,409,281,61,4,0,0,0,0,0,0,14,2,3,17,44,2951
327,1994,PhD,Divorced,174020.22,0,1,2011-10-04,45,0,937,342,292,71,27,775,9,0,0,1,0,0,1,12,12,3,18,23,1707
328,2001,2n Cycle,Single,60083.36,1,1,2018-06-11,30,0,559,428,553,68,76,624,5,0,0,0,0,0,0,11,13,2,2,44,1803
329,1962,Basic,Widow,190339.54,0,1,2013-01-09,92,0,713,234,430,390,163,428,6,0,0,0,0,0,0,1,2,7,2,41,4652
330,1948,2n Cycle,Divorced,118416.35,0,2,2010-11-26,8,0,497,348,603,382,8,657,3,1,0,0,0,0,0,3,3,8,4,32,3708
331,1951,2n Cycle,Together,90139.77,1,0,2012-05-15,14,0,848,243,316,15,174,727,6,0,0,0,0,0,0,4,9,0,2,20,3452
332,1940,PhD,Divorced,118117.32,0,1,2012-02-13,93,0,925,357,397,438,75,255,9,0,0,0,0,1,0,1,12,1,18,4,4382
333,1997,Master,Married,105756.19,2,2,2011-01-27,25,1,59,480,595,333,244,769,2,0,0,0,0,0,0,11,13,0,4,33,801
334,1940,Graduation,Married,152961.37,1,2,2011-09-29,9,0,1420,326,545,356,121,705,6,0,0,0,0,0,1,7,14,13,13,48,214
335,1973,Master,Together,60086.73,1,2,2016-06-12,28,0,256,395,75,55,184,346,3,0,1,0,0,0,0,0,13,3,15,1,1742
336,1987,PhD,Single,73844.83,1,0,2019-02-21,79,0,576,350,864,104,31,525,7,0,0,1,0,1,0,2,9,9,0,13,2006
337,1940,PhD,Widow,179348.39,2,1,2019-08-20,35,0,238,415,915,131,249,303,8,0,0,0,0,0,0,6,7,6,16,3,3910
338,1955,PhD,Divorced,189559.02,1,2,2019-08-14,83,0,37,373,708,483,56,614,6,0,1,1,0,0,0,9,9,13,10,12,2825
339,2000,Basic,Married,179048.85,0,0,2018-01-21,36,0,24,403,485,47,143,244,7,0,1,0,0,0,0,0,8,6,8,29,3339
340,2003,Master,Single,86792.36,0,2,2017-05-23,85,0,409,374,1111,247,83,756,7,1,0,0,0,0,0,12,13,11,3,31,1818
341,2002,Master,Together,157171.27,0,2,2017-11-28,70,0,460,50,746,272,55,779,1,0,0,0,0,0,1,10,7,5,1,41,2473
342,1961,2n Cycle,Married,97885.47,1,2,2012-10-22,22,0,987,80,1030,110,278,735,8,1,0,0,0,1,0,14,10,12,8,36,4576
343,1965,2n Cycle,Together,102020.27,0,2,2017-01-11,40,0,1440,35,549,419,272,731,5,0,0,0,0,0,0,1,9,10,4,2,3746
344,1955,2n Cycle,Divorced,44912.62,1,2,2014-08-02,92,0,356,66,975,325,165,411,3,0,0,0,0,0,0,2,1,4,3,22,832
345,1990,PhD,Widow,120270.41,0,0,2017-05-07,79,0,382,128,1075,335,157,216,4,0,0,0,0,0,0,13,3,10,4,22,3828
346,1996,Master,Married,41296.5,2,1,2019-04-04,27,0,1181,369,941,348,248,515,9,0,0,0,0,0,0,13,3,3,17,41,1004
347,1968,PhD,Married,69655.12,2,1,2012-01-10,47,0,568,154,918,483,185,473,4,0,0,0,0,0,0,1,11,11,12,31,2042
348,1986,Basic,Divorced,171730.89,2,1,2014-03-26,37,0,1456,244,1166,37,77,35,6,0,0,0,0,0,0,1,1,12,4,45,1709
349,2001,2n Cycle,Single,45379.78,2,1,2011-04-14,30,0,1071,110,362,356,21,177,8,0,1,0,1,0,0,11,12,13,18,14,190
350,1955,PhD,Widow,18875.87,1,0,2016-03-09,13,1,1351,167,381,239,107,386,6,0,0,1,1,0,0,10,7,7,2,29,769
351,1987,PhD,Married,18456.48,0,0,2013-02-09,96,0,432,480,270,317,272,768,8,1,0,0,0,0,0,5,2,6,17,35,1700
352,1978,Basic,Widow,188452.98,2,0,2012-10-28,72,0,1454,467,1037,120,251,16,3,0,0,0,1,0,0,6,1,10,5,9,3623
353,1972,Graduation,Married,103849.49,1,2,2017-10-22,90,0,55,141,297,47,14,710,9,0,0,0,0,0,0,5,6,10,5,47,3524
354,1962,Master,Widow,84835.35,2,2,2016-11-29,87,0,576,355,1003,9,159,47,9,0,0,0,0,0,0,10,14,9,4,32,1065
355,1949,Graduation,Together,163121.32,2,2,2012-05-23,76,0,267,196,233,232,204,61,3,0,1,0,0,0,0,5,0,0,0,27,4433
356,1973,2n Cycle,Married,167986.06,1,1,2011-04-05,89,0,68,470,574,35,112,68,5,0,1,0,0,1,0,14,14,5,7,10,392
357,1991,PhD,Widow,69777.25,1,2,2016-04-19,28,0,901,108,26,412,167,658,7,0,0,1,1,0,0,8,5,13,0,25,3233
358,1949,Basic,Single,140255.52,0,1,2014-03-30,50,0,1472,375,92,461,252,365,8,0,0,0,0,0,0,7,12,1,5,49,2751
359,1958,Basic,Together,155368.95,0,2,2012-01-22,48,0,792,78,616,3,185,161,0,0,0,0,1,0,0,13,12,3,19,45,1025
360,1997,Master,Together,132656.88,2,1,2014-01-01,42,0,256,389,308,43,226,738,0,0,0,0,0,0,0,7,2,4,13,33,2633
361,1940,Graduation,Single,34561.04,2,2,2014-11-13,91,0,671,160,51,55,15,487,7,0,0,0,0,0,0,5,12,7,10,11,3170
362,1943,Master,Widow,175797.2,0,2,2018-04-17,91,0,489,438,318,41,155,430,6,1,0,0,0,0,0,4,2,5,1,37,1873
363,1955,PhD,Divorced,110123.44,0,0,2012-05-03,71,0,745,18,180,254,110,488,8,0,0,0,0,0,1,8,14,10,3,9,4476
364,1963,Master,Single,60082.12,1,2,2016-04-02,86,0,48,126,1143,227,0,229,2,0,0,0,0,0,0,11,4,1,12,7,4510
365,1941,Basic,Widow,87919.5,0,2,2013-08-22,92,0,315,204,874,113,40,369,9,1,0,0,0,0,0,1,13,4,6,7,60
366,1971,Basic,Single,12326.36,0,0,2011-04-23,4,0,412,28,1066,236,47,177,4,0,1,0,1,0,1,6,2,14,5,34,4654
367,1963,2n Cycle,Single,29934.03,2,1,2017-06-19,41,0,433,444,646,396,107,409,2,0,0,0,0,1,0,5,11,4,2,19,2677
368,1951,2n Cycle,Married,154281.62,0,0,2018-06-19,6,0,1025,453,196,173,160,567,4,0,0,0,0,0,0,6,3,5,8,20,1518
369,1989,PhD,Widow,5002.27,2,0,2016-03-13,41,0,1168,206,644,254,160,589,9,0,0,0,0,0,0,11,12,0,13,42,1163
370,1974,Graduation,Divorced,86230.34,0,1,2017-12-12,35,0,1389,463,970,465,127,269,0,1,0,0,1,0,0,3,12,7,19,25,671
371,1972,Master,Married,106889.49,1,2,2010-05-15,26,0,419,279,254,416,209,205,3,0,0,0,0,0,0,8,14,2,10,5,950
372,1972,PhD,Single,15653.71,0,1,2018-01-31,57,0,843,150,731,276,150,792,5,0,0,0,0,0,0,6,2,4,4,48,3797
373,2000,2n Cycle,Single,194750.24,0,2,2013-02-26,45,0,1467,239,335,463,254,739,1,0,0,0,0,0,0,1,6,6,13,29,4114
374,1990,Master,Single,49094.44,0,2,2011-02-14,65,0,915,265,989,334,217,750,6,1,0,0,0,0,0,12,2,2,18,27,1521
375,1982,2n Cycle,Widow,64318.75,2,1,2013-12-16,24,0,433,181,899,440,29,799,7,0,0,0,0,0,0,3,13,13,7,25,3153
